default.truck_mileage.truckid,default.truck_mileage.driverid,default.truck_mileage.rdate,default.truck_mileage.miles,default.truck_mileage.gas,default.truck_mileage.mpg
A1,A1,jun13,9217,1914,4.81556948798
A1,A1,may13,8769,1892,4.63477801268
A1,A1,apr13,14234,3008,4.73204787234
A1,A1,mar13,11519,2262,5.09239610964
A1,A1,feb13,8676,1596,5.43609022556
A1,A1,jan13,10025,1878,5.3381256656
A1,A1,dec12,12647,2331,5.42556842557
A1,A1,nov12,10214,2054,4.97273612463
A1,A1,oct12,10807,2134,5.06419868791
A1,A1,sep12,11127,2191,5.07850296668
A1,A1,aug12,9754,1967,4.95882053889
A1,A1,jul12,12925,2578,5.01357641583
A1,A1,jun12,15792,3313,4.76667672804
A1,A1,may12,9052,1878,4.82002129925
A1,A1,apr12,11062,2150,5.14511627907
A1,A1,mar12,13594,2824,4.81373937677
A1,A1,feb12,11019,2324,4.74139414802
A1,A1,jan12,9222,1902,4.84858044164
A1,A1,dec11,8565,1745,4.90830945559
A1,A1,nov11,10410,1943,5.35769428718
A1,A1,oct11,13450,3047,4.41417787988
A1,A1,sep11,10446,2112,4.94602272727
A1,A1,aug11,10378,2201,4.7151294866
A1,A1,jul11,9014,1598,5.64080100125
A1,A1,jun11,9466,2642,3.58289174868
A1,A1,may11,14175,2642,5.36525359576
A1,A1,apr11,11573,2642,4.38039364118
A1,A1,mar11,13055,2642,4.941332324
A1,A1,feb11,14614,2642,5.53141559425
A1,A1,jan11,14099,2642,5.33648750946
A1,A1,dec10,15174,2642,5.74337623013
A1,A1,nov10,10635,2642,4.02535957608
A1,A1,oct10,12105,2642,4.58175624527
A1,A1,sep10,10130,2642,3.83421650265
A1,A1,aug10,11344,2642,4.29371688115
A1,A1,jul10,10622,2642,4.02043906132
A1,A1,jun10,10747,2642,4.06775170326
A1,A1,may10,12976,2642,4.91143073429
A1,A1,apr10,13221,2642,5.00416351249
A1,A1,mar10,10435,2642,3.94965934898
A1,A1,feb10,12839,2642,4.85957607873
A1,A1,jan10,8969,2642,3.39477668433
A1,A1,dec09,8795,2642,3.32891748675
A1,A1,nov09,13668,2642,5.17335352006
A1,A1,oct09,12414,2642,4.69871309614
A1,A1,sep09,13300,2642,5.0340651022
A1,A1,aug09,11698,2642,4.42770628312
A1,A1,jul09,14207,2642,5.3773656321
A1,A1,jun09,14062,2642,5.32248296745
A1,A1,may09,12073,2642,4.56964420893
A1,A1,apr09,15276,2642,5.78198334595
A1,A1,mar09,9880,2642,3.73959121877
A1,A1,feb09,13861,2642,5.24640423921
A1,A1,jan09,11176,2642,4.23012869039
A2,A2,jun13,12058,2335,5.16402569593
A2,A2,may13,14314,2648,5.40558912387
A2,A2,apr13,11050,2323,4.75678002583
A2,A2,mar13,14114,3157,4.47070003168
A2,A2,feb13,13583,2346,5.78985507246
A2,A2,jan13,15362,3353,4.58156874441
A2,A2,dec12,13608,2607,5.21979286536
A2,A2,nov12,11236,2597,4.32653061224
A2,A2,oct12,11380,1939,5.86900464157
A2,A2,sep12,12934,2324,5.56540447504
A2,A2,aug12,11848,2301,5.14906562364
A2,A2,jul12,13206,3114,4.2408477842
A2,A2,jun12,15316,3344,4.58014354067
A2,A2,may12,13838,2718,5.09124356144
A2,A2,apr12,12024,2800,4.29428571429
A2,A2,mar12,12693,2329,5.44997853156
A2,A2,feb12,14392,2929,4.91362239672
A2,A2,jan12,11134,2290,4.86200873362
A2,A2,dec11,13911,2953,4.71080257365
A2,A2,nov11,11542,2650,4.35547169811
A2,A2,oct11,11296,2135,5.29086651054
A2,A2,sep11,10224,2027,5.0439072521
A2,A2,aug11,14595,3013,4.84400929306
A2,A2,jul11,13769,2980,4.62046979866
A2,A2,jun11,10377,1827,5.67980295567
A2,A2,may11,12786,1827,6.99835796388
A2,A2,apr11,14364,1827,7.86206896552
A2,A2,mar11,8978,1827,4.91406677614
A2,A2,feb11,9259,1827,5.06787082649
A2,A2,jan11,9545,1827,5.22441160372
A2,A2,dec10,13100,1827,7.1702244116
A2,A2,nov10,8529,1827,4.66830870279
A2,A2,oct10,9667,1827,5.29118773946
A2,A2,sep10,13264,1827,7.25998905309
A2,A2,aug10,12070,1827,6.60645867542
A2,A2,jul10,10367,1827,5.67432950192
A2,A2,jun10,13829,1827,7.56923918993
A2,A2,may10,10942,1827,5.9890530925
A2,A2,apr10,10463,1827,5.72687465791
A2,A2,mar10,9406,1827,5.14833059661
A2,A2,feb10,14755,1827,8.07608100712
A2,A2,jan10,14043,1827,7.68637110016
A2,A2,dec09,11656,1827,6.3798576902
A2,A2,nov09,14744,1827,8.07006020799
A2,A2,oct09,13797,1827,7.55172413793
A2,A2,sep09,9660,1827,5.28735632184
A2,A2,aug09,10283,1827,5.62835249042
A2,A2,jul09,12034,1827,6.58675424193
A2,A2,jun09,11719,1827,6.41434044882
A2,A2,may09,13912,1827,7.61466885605
A2,A2,apr09,11892,1827,6.50903119869
A2,A2,mar09,15158,1827,8.29666119321
A2,A2,feb09,12774,1827,6.99178981938
A2,A2,jan09,11743,1827,6.42747673782
A3,A3,jun13,13652,2899,4.70921007244
A3,A3,may13,12075,2603,4.63887821744
A3,A3,apr13,12277,2792,4.39720630372
A3,A3,mar13,9642,1864,5.17274678112
A3,A3,feb13,8606,1796,4.79175946548
A3,A3,jan13,13089,2796,4.6813304721
A3,A3,dec12,10762,2099,5.1272034302
A3,A3,nov12,10250,1857,5.5196553581
A3,A3,oct12,9312,2046,4.55131964809
A3,A3,sep12,8437,1728,4.88252314815
A3,A3,aug12,13905,2789,4.98565794191
A3,A3,jul12,14079,2965,4.74839797639
A3,A3,jun12,12761,2708,4.7123338257
A3,A3,may12,13264,2754,4.81626724764
A3,A3,apr12,12957,2529,5.12336892052
A3,A3,mar12,12598,2581,4.88105385509
A3,A3,feb12,13291,2644,5.02685325265
A3,A3,jan12,9433,1881,5.0148856991
A3,A3,dec11,13980,2503,5.58529764283
A3,A3,nov11,8592,1909,4.5007857517
A3,A3,oct11,11978,2572,4.65707620529
A3,A3,sep11,10921,2299,4.7503262288
A3,A3,aug11,13774,2956,4.65967523681
A3,A3,jul11,9451,1940,4.87164948454
A3,A3,jun11,13420,3064,4.37989556136
A3,A3,may11,11378,3064,3.7134464752
A3,A3,apr11,13573,3064,4.42983028721
A3,A3,mar11,11635,3064,3.79732375979
A3,A3,feb11,9577,3064,3.12565274151
A3,A3,jan11,10780,3064,3.5182767624
A3,A3,dec10,12490,3064,4.07637075718
A3,A3,nov10,15127,3064,4.93701044386
A3,A3,oct10,11524,3064,3.76109660574
A3,A3,sep10,14234,3064,4.6455613577
A3,A3,aug10,14551,3064,4.74902088773
A3,A3,jul10,12213,3064,3.98596605744
A3,A3,jun10,14079,3064,4.59497389034
A3,A3,may10,11040,3064,3.60313315927
A3,A3,apr10,10460,3064,3.4138381201
A3,A3,mar10,15435,3064,5.03753263708
A3,A3,feb10,12811,3064,4.18113577023
A3,A3,jan10,12616,3064,4.11749347258
A3,A3,dec09,10743,3064,3.50620104439
